Parameter,Layer,Index,Value
Weight of Layer 1,Weight,1,-0.0
Weight of Layer 1,Weight,2,0.0
Weight of Layer 1,Weight,3,-0.0
Weight of Layer 1,Weight,4,0.0
Weight of Layer 1,Weight,5,-0.0
Weight of Layer 1,Weight,6,0.0
Weight of Layer 1,Weight,7,0.0
Weight of Layer 1,Weight,8,0.0
Weight of Layer 1,Weight,9,0.0
Weight of Layer 1,Weight,10,-0.0
Weight of Layer 1,Weight,11,0.0
Weight of Layer 1,Weight,12,0.0
Weight of Layer 1,Weight,13,-0.0
Weight of Layer 1,Weight,14,-0.0
Weight of Layer 1,Weight,15,-0.0
Weight of Layer 1,Weight,16,-0.0
Weight of Layer 1,Weight,17,-0.0
Weight of Layer 1,Weight,18,0.0
Weight of Layer 1,Weight,19,-0.0
Weight of Layer 1,Weight,20,0.0
Weight of Layer 1,Weight,21,0.0
Weight of Layer 1,Weight,22,-0.0
Weight of Layer 1,Weight,23,-0.0
Weight of Layer 1,Weight,24,-0.0
Weight of Layer 1,Weight,25,0.0
Weight of Layer 1,Weight,26,-0.0
Weight of Layer 1,Weight,27,-0.0
Weight of Layer 1,Weight,28,-0.0
Weight of Layer 1,Weight,29,0.0
Weight of Layer 1,Weight,30,0.0
Weight of Layer 1,Weight,31,0.0
Weight of Layer 1,Weight,32,-0.0
Weight of Layer 1,Weight,33,-0.0
Weight of Layer 1,Weight,34,0.0
Weight of Layer 1,Weight,35,0.0
Weight of Layer 1,Weight,36,0.0
Weight of Layer 1,Weight,37,0.0
Weight of Layer 1,Weight,38,0.0
Weight of Layer 1,Weight,39,-0.0
Weight of Layer 1,Weight,40,-0.0
Weight of Layer 1,Weight,41,0.0
Weight of Layer 1,Weight,42,0.0
Weight of Layer 1,Weight,43,-0.0
Weight of Layer 1,Weight,44,-0.0
Weight of Layer 1,Weight,45,0.0
Weight of Layer 1,Weight,46,0.0
Weight of Layer 1,Weight,47,0.0
Weight of Layer 1,Weight,48,0.0
Weight of Layer 1,Weight,49,-0.0
Weight of Layer 1,Weight,50,-0.0
Weight of Layer 1,Weight,51,0.0
Weight of Layer 1,Weight,52,0.0
Weight of Layer 1,Weight,53,-0.0
Weight of Layer 1,Weight,54,-0.0
Weight of Layer 1,Weight,55,-0.0
Weight of Layer 1,Weight,56,0.0
Weight of Layer 1,Weight,57,-0.0
Weight of Layer 1,Weight,58,0.0
Weight of Layer 1,Weight,59,-0.0
Weight of Layer 1,Weight,60,0.0
Weight of Layer 1,Weight,61,0.0
Weight of Layer 1,Weight,62,-0.0
Weight of Layer 1,Weight,63,-0.0
Weight of Layer 1,Weight,64,-0.0
Weight of Layer 1,Weight,65,0.0
Weight of Layer 1,Weight,66,0.0
Weight of Layer 1,Weight,67,0.0
Weight of Layer 1,Weight,68,0.0
Weight of Layer 1,Weight,69,0.0
Weight of Layer 1,Weight,70,0.0
Weight of Layer 1,Weight,71,0.0
Weight of Layer 1,Weight,72,-0.0
Weight of Layer 1,Weight,73,-0.0
Weight of Layer 1,Weight,74,-0.0
Weight of Layer 1,Weight,75,-0.0
Weight of Layer 1,Weight,76,-0.0
Weight of Layer 1,Weight,77,-0.0
Weight of Layer 1,Weight,78,0.0
Weight of Layer 1,Weight,79,-0.0
