x1,,,ave exp for 3,,ave exp for 5
0.991,,,0.975946123,,0.020828787
0.985,,,,,
0.988,,,,,
0.994,,sdp,,,
0.985,,0.95838,0.166720531,,
0.983,,,,,
0.985,,,,,
0.986,,,,,
0.995,,,,,
0.989,,,,,
0.985,,,,,
0.99,,,,,
0.993,,,,,
0.992,,,,,
0.992,,,,,
0.987,,,,,
0.984,,,,,
0.981,,,,,
0.008,,,,,
0.996,,,,,
0.992,,,,,
0.988,,,,,
0.983,,,,,
0.99,,,,,
0.986,,,,,
0.992,,,,,
0.989,,,,,
0.994,,,,,
0.996,,,,,
0.978,,,,,
0.983,,,,,
0.989,,,,,
0.984,,,,,
0.989,,,,,
0.99,,,,,
0.985,,,,,
0.989,,,,,
0.982,,,,,
0.994,,,,,
0.984,,,,,
0.991,,,,,
0.988,,,,,
0.998,,,,,
0.992,,,,,
0.011,,,,,
0.992,,,,,
0.991,,,,,
0.991,,,,,
0.984,,,,,
0.987,,,,,
0.983,,,,,
0.99,,,,,
0.988,,,,,
0.986,,,,,
0.99,,,,,
0.994,,,,,
0.989,,,,,
0.983,,,,,
0.989,,,,,
0.979,,,,,
0.99,,,,,
0.986,,,,,
0.983,,,,,
0.992,,,,,
0.985,,,,,
0.988,,,,,
0.977,,,,,
0.994,,,,,
0.989,,,,,
0.99,,,,,
0.985,,,,,
0.977,,,,,
0.985,,,,,
0.981,,,,,
0.991,,,,,
0.986,,,,,
0.987,,,,,
0.983,,,,,
0.013,,,,,
0.983,,,,,
0.985,,,,,
0.99,,,,,
0.991,,,,,
0.99,,,,,
0.988,,,,,
0.987,,,,,
0.991,,,,,
0.987,,,,,
0.984,,,,,
0.992,,,,,
0.985,,,,,
0.99,,,,,
0.988,,,,,
0.988,,,,,
0.987,,,,,
0.982,,,,,
0.983,,,,,
0.991,,,,,
0.985,,,,,
0.987,,,,,
